Datetime,Open,High,Low,Close,Volume
2024-01-02 09:30:00,472.16,472.8,471.36,472.27,13798418
2024-01-02 10:00:00,472.275,472.71,471.59,471.76,5809750
2024-01-02 10:30:00,471.77,472.07,471.3,471.68,4886746
2024-01-02 11:00:00,471.67,472.45,471.63,472.33,4198562
2024-01-02 11:30:00,472.32,473.29,472.27,473.185,4794138
2024-01-02 12:00:00,473.26,473.36,472.77,472.975,4579815
2024-01-02 12:30:00,472.975,473.67,472.59,472.65,4361684
2024-01-02 13:00:00,472.65,472.97,472.28,472.66,3032929
2024-01-02 13:30:00,472.66,472.96,472.0,472.15,5600432
2024-01-02 14:00:00,472.175,472.25,471.545,471.88,4345837
2024-01-02 14:30:00,471.86,472.06,470.92,470.925,6047146
2024-01-02 15:00:00,470.927,471.07,470.49,470.91,7615230
2024-01-02 15:30:00,470.905,472.67,470.67,472.6,24786273
2024-01-03 09:30:00,470.43,470.53,469.65,469.97,9945960
2024-01-03 10:00:00,469.95,470.96,469.22,469.5,8962312
2024-01-03 10:30:00,469.49,469.66,468.71,469.39,8169152
2024-01-03 11:00:00,469.39,469.93,469.38,469.71,5898704
2024-01-03 11:30:00,469.73,469.79,469.13,469.26,4640345
2024-01-03 12:00:00,469.26,469.59,468.97,469.58,2976217
2024-01-03 12:30:00,469.58,470.39,469.421,470.3,3184763
2024-01-03 13:00:00,470.29,470.77,470.263,470.33,3190909
2024-01-03 13:30:00,470.34,470.43,469.86,470.082,2948804
2024-01-03 14:00:00,470.08,471.19,468.95,470.94,8838440
2024-01-03 14:30:00,470.95,471.18,470.18,470.228,5776044
2024-01-03 15:00:00,470.23,470.29,468.97,469.26,6302966
2024-01-03 15:30:00,469.275,469.795,468.17,468.73,18962548
2024-01-04 09:30:00,468.3,469.26,468.11,468.92,7197738
2024-01-04 10:00:00,469.18,470.15,469.18,469.765,5435659
2024-01-04 10:30:00,469.76,470.24,469.62,469.851,2677809
2024-01-04 11:00:00,469.87,470.96,469.87,470.65,3298006
2024-01-04 11:30:00,470.66,470.82,469.46,469.72,3501793
2024-01-04 12:00:00,469.72,469.838,469.26,469.61,2635926
2024-01-04 12:30:00,469.609,469.62,468.665,469.132,2894994
2024-01-04 13:00:00,469.13,469.41,468.97,469.32,1859159
2024-01-04 13:30:00,469.33,469.47,468.97,469.07,2057416
2024-01-04 14:00:00,469.08,469.33,468.51,468.58,4965403
2024-01-04 14:30:00,468.57,468.985,468.17,468.68,5434672
2024-01-04 15:00:00,468.683,469.04,468.07,468.269,49847387
2024-01-04 15:30:00,468.26,468.68,467.05,467.27,19959655
